"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"historical--historical--2020--2050","historical",0.27,0.1,0,66,0,50,98,73.81,0.2,0.1,0.1,0.05,18.2083843234549,50
"historical--historical--2020--2051","historical",0.52,0.17,0,85,0,42,71,69.35,0.1,1,0,0.3,17.948031424701,51
"historical--historical--2020--2052","historical",0.3,0,0.2,69,0.25,48,54,78.24,0,0.3,0,0,17.2863416902099,52
"historical--historical--2020--2053","historical",0.38,0.15,0,101,0.1,58,69,83.88,0.1,0.4,0,0.2,17.2085592451238,53
"historical--historical--2020--2054","historical",0.36,0.24,0,77,0,67,75,91.85,0,0,0.1,0.4,17.7399264914215,54
"historical--historical--2020--2055","historical",0.37,0,0,71,0,62,68,81.04,0.2,0.7,0.1,0.1,17.6621119545057,55
"historical--historical--2020--2056","historical",0.43,0,0,99,0,42,84,72.97,0,0.5,0.2,0,18.2759375000173,56
"historical--historical--2020--2057","historical",0.27,0,0,88,0,56,81,84.66,0,0.6,0.2,0.05,18.4073817579002,57
"historical--historical--2020--2058","historical",0.24,0,0,72,0.1,80,86,97.13,0,0.7,0,0.05,18.5673717425833,58
"historical--historical--2020--2059","historical",0.37,0.35,0,93,0.2,66,72,88.83,0.1,0.1,0.1,0,18.1182173580663,59
"historical--historical--2020--2060","historical",0.28,0.11,0,88,0,79,90,93.73,0.2,0.6,0,0.05,18.7761813866678,60
"historical--historical--2020--2061","historical",0.24,0.26,0.3,68,0,95,101,104.36,0.2,0.1,0,0.15,18.4020605363658,61
"historical--historical--2020--2062","historical",0.27,0.36,0,70,0,42,48,70.9,0.9,0.5,0,0,16.3511580488613,62
"historical--historical--2020--2063","historical",0.2,0.1,0,76,0,60,66,81.42,0,0.7,0,0.45,18.2874124314858,63
"historical--historical--2020--2064","historical",0.05,0.24,0,81,0.2,43,53,73.99,0.6,0.7,0.1,0.15,17.3641581282894,64
"historical--historical--2020--2065","historical",0.11,0,0,65,0,51,69,84.89,0,0.5,0.1,0,17.929374729801,65
"historical--historical--2020--2066","historical",0.18,0.3,0,89,0,76,82,93.2,0.1,0.9,0.2,0.2,18.8388059415391,66
