"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"ssp126--GFDL-ESM4--2075--2013","ssp126",0.46,0.16,0,71,0.3,64,70,77.67,0.3,0.4,0.1,0,17.7506268204166,913
"ssp126--GFDL-ESM4--2075--2014","ssp126",0.2,0.1,0,74,0.2,42,81,70.03,0.2,0.5,0.1,0.45,18.338479584218,914
"ssp126--GFDL-ESM4--2075--2015","ssp126",0.43,0.1,0,86,0.9,58,64,81.86,0,0.4,0.3,0.1,17.9753757348198,915
"ssp126--GFDL-ESM4--2075--2016","ssp126",0.2,0.1,0,98,0.1,46,52,69.35,0.1,0.9,0.3,0.25,18.3252271570741,916
"ssp126--GFDL-ESM4--2075--2017","ssp126",0.13,0.3,0,88,0.3,70,76,86.76,0.2,0.6,0.1,0.05,18.5257805940913,917
"ssp126--GFDL-ESM4--2075--2018","ssp126",0.05,0.56,0,99,0,57,63,83.83,0,0.2,0.4,0.15,18.1993209599463,918
"ssp126--GFDL-ESM4--2075--2019","ssp126",0.17,0.2,0,86,0.5,54,61,81.23,0.4,0.2,0.1,0,18.1087074517765,919
"ssp126--GFDL-ESM4--2075--2020","ssp126",0.21,0.1,0,68,0.25,76,85,94.03,0,0.4,0.1,0.2,19.4020887150457,920
"ssp126--GFDL-ESM4--2075--2021","ssp126",0.18,0.15,0,89,0.4,63,69,78.89,0.1,0.3,0.3,0.45,18.8504374996356,921
"ssp126--GFDL-ESM4--2075--2022","ssp126",0.18,0.33,0,94,0.2,42,74,76.81,0,0.6,0.1,0.55,18.3658304790447,922
"ssp126--GFDL-ESM4--2075--2023","ssp126",0.42,0.2,0,85,0.1,43,49,75.14,0.4,0.6,0.3,0.15,17.6387639704724,923
"ssp126--GFDL-ESM4--2075--2024","ssp126",0.26,0.33,0,94,0.1,44,50,74.62,0,0.5,0.4,0.1,18.5146698357821,924
"ssp126--GFDL-ESM4--2075--2025","ssp126",0.11,0.38,0,90,0.1,56,68,72.98,0.2,0.6,0.1,0.45,18.5981015457526,925
"ssp126--GFDL-ESM4--2075--2026","ssp126",0.34,0,0,98,0.3,55,61,83.96,0,0.4,0.1,0.15,19.3432043426634,926
"ssp126--GFDL-ESM4--2075--2027","ssp126",0.24,0,0,63,0.2,65,71,86.94,0,0.6,0.2,0.35,19.1929050747645,927
"ssp126--GFDL-ESM4--2075--2028","ssp126",0.51,0.34,0,94,0.2,69,75,88.33,0,0.7,0.2,0.2,18.9769651261182,928
"ssp126--GFDL-ESM4--2075--2029","ssp126",0.3,0.52,0.25,63,0.5,47,53,73.37,0.2,0.4,0.2,0.2,18.3988384751668,929
"ssp126--GFDL-ESM4--2075--2030","ssp126",0.15,0,0,94,0.2,45,51,73,0,0.7,0.3,0.65,17.9542935842181,930
"ssp126--GFDL-ESM4--2075--2031","ssp126",0.28,0.1,0,88,0.2,48,79,78.39,0,0.2,0.1,0,18.0930266442993,931
"ssp126--GFDL-ESM4--2075--2032","ssp126",0.39,0.12,0.2,80,0.2,59,65,79.64,0,0.4,0.1,0,18.9104647655242,932
"ssp126--GFDL-ESM4--2075--2033","ssp126",0.24,0.23,0,86,0.1,70,79,87.69,0.2,0.7,0,0,18.6233168888797,933
"ssp126--GFDL-ESM4--2075--2034","ssp126",0.22,0.22,0,83,0.2,53,59,72.48,0.1,0.9,0,0.6,18.6358927325714,934
"ssp126--GFDL-ESM4--2075--2035","ssp126",0.25,0.16,0,89,0.4,53,59,80.62,0.7,0.3,0,0.25,17.1271492348622,935
"ssp126--GFDL-ESM4--2075--2036","ssp126",0.11,0,0,78,1,64,70,84.42,0,0,0.1,0.05,18.2802619021871,936
"ssp126--GFDL-ESM4--2075--2037","ssp126",0.06,0,0.2,83,0.7,42,79,73.44,0,0.4,0.1,0.35,17.8703495301747,937
"ssp126--GFDL-ESM4--2075--2038","ssp126",0.47,0.27,0,93,0.4,42,48,73.54,0,0.3,0.2,0.15,17.9445692426063,938
"ssp126--GFDL-ESM4--2075--2039","ssp126",0.38,0.29,0,90,0,58,64,87.48,0.2,0.9,0.3,0.5,17.3507778437362,939
"ssp126--GFDL-ESM4--2075--2040","ssp126",0.18,0.21,0,80,0,47,53,78.03,0.7,0.7,0.1,0.15,17.5327736501302,940
"ssp126--GFDL-ESM4--2075--2041","ssp126",0.22,0.41,0,106,0.1,51,69,80.05,0.1,0.4,0,0.15,18.4113476544841,941
"ssp126--GFDL-ESM4--2075--2042","ssp126",0.19,0,0,97,0.1,57,63,80.66,0,0.3,0.4,0.1,19.3219209428843,942
"ssp126--GFDL-ESM4--2075--2043","ssp126",0.17,0.37,0,91,0.4,57,91,86.74,0,0.3,0.1,0.2,19.08745326373,943
"ssp126--GFDL-ESM4--2075--2044","ssp126",0.36,0.12,0,97,0.4,74,80,89.17,0.2,0.2,0.2,0.1,18.7152679711633,944
"ssp126--GFDL-ESM4--2075--2045","ssp126",0.14,0.26,0,105,0.5,75,81,93.43,0,0.1,0.2,0.05,18.4776827593981,945
"ssp126--GFDL-ESM4--2075--2046","ssp126",0.37,0.39,0,93,0.8,66,72,84.01,0,0.4,0.1,0.2,19.0244627137441,946
"ssp126--GFDL-ESM4--2075--2047","ssp126",0.24,0.39,0,81,0.4,102,108,117.1,0,0.1,0.3,0.2,19.9017240760639,947
"ssp126--GFDL-ESM4--2075--2048","ssp126",0.35,0.19,0,80,0.2,60,66,84.13,0,0.3,0.3,0.4,18.1595239119789,948
"ssp126--GFDL-ESM4--2075--2049","ssp126",0.06,0,0,77,0.1,62,68,84.29,0.1,0.4,0.1,0.2,19.0902475818033,949
"ssp126--GFDL-ESM4--2075--2050","ssp126",0.29,0,0,71,0.6,47,88,71.09,0.1,0.2,0.1,0.05,18.3615909024789,950
"ssp126--GFDL-ESM4--2075--2051","ssp126",0.31,0.22,0,85,0.3,42,56,69.04,0.1,0.7,0.1,0.3,18.1314450580548,951
"ssp126--GFDL-ESM4--2075--2052","ssp126",0,0.13,0,81,0,48,54,76.98,0,0.3,0.2,0,18.4079719330471,952
"ssp126--GFDL-ESM4--2075--2053","ssp126",0.15,0,0.3,100,0.1,57,63,84.35,0,0.6,0.2,0.15,18.1808877469601,953
"ssp126--GFDL-ESM4--2075--2054","ssp126",0.16,0.24,0,75,0.4,60,66,85.95,0,0.2,0.2,0.4,18.6057453983157,954
"ssp126--GFDL-ESM4--2075--2055","ssp126",0.26,0,0,74,0.2,62,68,80.95,0,0.6,0,0.2,18.4670087067013,955
"ssp126--GFDL-ESM4--2075--2056","ssp126",0.22,0.13,0,98,0.2,42,79,71.75,0,0.4,0,0,19.0024096850778,956
"ssp126--GFDL-ESM4--2075--2057","ssp126",0.36,0.1,0,99,0.2,55,65,84.13,0.3,1,0.2,0.15,18.3306433287886,957
"ssp126--GFDL-ESM4--2075--2058","ssp126",0.2,0,0,78,0.3,79,85,96.41,0,0.7,0.1,0.1,19.4073942278187,958
"ssp126--GFDL-ESM4--2075--2059","ssp126",0.17,0.2,0,87,0.4,64,70,87.04,0,0.1,0.3,0,18.7600181643981,959
"ssp126--GFDL-ESM4--2075--2060","ssp126",0.38,0.17,0,88,0.1,70,81,89.61,0,0.6,0,0.15,18.7540955633487,960
"ssp126--GFDL-ESM4--2075--2061","ssp126",0.31,0.27,0,80,0.4,58,87,80.46,0.1,0.2,0.3,0.15,18.5936031528161,961
"ssp126--GFDL-ESM4--2075--2062","ssp126",0.25,0.25,0,68,0.6,42,48,70.07,0.2,0.4,0.1,0.05,17.2089400384899,962
"ssp126--GFDL-ESM4--2075--2063","ssp126",0.17,0.1,0,84,0.2,60,66,81.52,0,0.9,0.5,0.45,19.0699011433713,963
"ssp126--GFDL-ESM4--2075--2064","ssp126",0.3,0.23,0,90,0.2,43,51,74.32,0.4,0.4,0.2,0.05,17.9609246202494,964
"ssp126--GFDL-ESM4--2075--2065","ssp126",0.26,0.22,0,66,0.3,51,65,83.68,0,0.4,0.2,0,18.8634959575853,965
"ssp126--GFDL-ESM4--2075--2066","ssp126",0.21,0.22,0,88,0.3,74,80,92.9,0,0.9,0.2,0.4,19.5215825939667,966
"ssp126--GFDL-ESM4--2075--2067","ssp126",0.25,0.33,0.2,77,0.2,64,70,90.28,0.1,0.2,0.3,0.05,18.8769103192222,967
"ssp126--GFDL-ESM4--2075--2068","ssp126",0.39,0.2,0,89,0.35,73,79,95.97,0.4,0.7,0.3,0,19.0239073524156,968
"ssp126--GFDL-ESM4--2075--2069","ssp126",0.19,0.33,0,88,0.1,68,74,89.35,0,0.5,0.2,0.5,18.7713867372491,969
"ssp126--GFDL-ESM4--2075--2070","ssp126",0.23,0.23,0,93,0.1,42,53,70.67,0.3,0.3,0.2,0.25,17.6667855101977,970
"ssp126--GFDL-ESM4--2075--2071","ssp126",0.17,0,0,85,0.4,50,56,73.81,0,0.3,0.2,0.05,17.750928987325,971
"ssp126--GFDL-ESM4--2075--2072","ssp126",0.06,0,0,86,0.2,59,65,87.38,0.1,0.2,0.2,0.05,18.1144268391269,972
"ssp126--GFDL-ESM4--2075--2073","ssp126",0.43,0.12,0,82,0.4,76,82,86.93,0,0.7,0.5,0.25,19.7519982056725,973
"ssp126--GFDL-ESM4--2075--2074","ssp126",0.31,0,0,92,0.1,42,48,68.13,0.7,0.6,0.1,0,16.5469315336992,974
"ssp126--GFDL-ESM4--2075--2075","ssp126",0.16,0,0,66,0.75,53,59,82.23,0,0.4,0.3,0.15,18.3534773082099,975
"ssp126--GFDL-ESM4--2075--2076","ssp126",0.26,0,0.2,75,0.35,52,58,77.37,0.3,0.4,0.2,0.2,17.558377068925,976
"ssp126--GFDL-ESM4--2075--2077","ssp126",0.19,0.12,0,88,0.4,60,66,86.55,0,0.4,0.4,0.55,18.6590589155669,977
"ssp126--GFDL-ESM4--2075--2078","ssp126",0.17,0.2,0,85,0.2,68,74,91.34,0,0.3,0.4,0,18.889628226973,978
"ssp126--GFDL-ESM4--2075--2079","ssp126",0.19,0,0,89,0.55,48,54,77.41,0,0.6,0,0.45,19.1028498847574,979
"ssp126--GFDL-ESM4--2075--2080","ssp126",0.35,0.22,0,86,0.2,83,89,98.65,0,0.7,0.1,0.25,19.3289174675584,980
"ssp126--GFDL-ESM4--2075--2081","ssp126",0.23,0,0.2,80,0.2,71,77,93.93,0.3,0.8,0.2,0,17.8752906111667,981
"ssp126--GFDL-ESM4--2075--2082","ssp126",0.25,0,0,86,0.5,42,64,72.24,0.1,0.6,0.1,0,18.9543582908501,982
"ssp126--GFDL-ESM4--2075--2083","ssp126",0.37,0.13,0,82,0.1,45,70,73.22,0.1,0.4,0.1,0,17.6228401403248,983
"ssp126--GFDL-ESM4--2075--2084","ssp126",0.28,0.37,0,82,0.2,89,95,102.74,0,0.1,0.1,0.1,19.407080440854,984
"ssp126--GFDL-ESM4--2075--2085","ssp126",0.47,0.38,0,90,0,76,82,94.22,0.1,0.9,0.2,0.25,19.095421552691,985
"ssp126--GFDL-ESM4--2075--2086","ssp126",0.31,0.21,0,79,0.5,80,86,98.9,0,0.7,0.1,0.2,19.8515022292586,986
"ssp126--GFDL-ESM4--2075--2087","ssp126",0.22,0.49,0,78,0.45,70,76,88.77,0,0.6,0,0,18.4542205779537,987
"ssp126--GFDL-ESM4--2075--2088","ssp126",0.12,0.1,0,74,0.3,78,85,98.86,0,0.4,0.1,0.2,19.3404375788017,988
"ssp126--GFDL-ESM4--2075--2089","ssp126",0.19,0,0,73,0,62,85,86.84,0,0.3,0.2,0,18.2238080197545,989
"ssp126--GFDL-ESM4--2075--2090","ssp126",0.05,0.55,0,98,0.3,81,87,97.72,0.1,0.2,0,0,19.3778113557439,990
"ssp126--GFDL-ESM4--2075--2091","ssp126",0.25,0,0,82,0.1,72,78,95.28,0.2,0.7,0.1,0,18.5298569435012,991
"ssp126--GFDL-ESM4--2075--2092","ssp126",0.23,0.23,0,97,0.3,60,68,84.98,0.1,0.2,0.2,0.1,18.9509599049538,992
"ssp126--GFDL-ESM4--2075--2093","ssp126",0.28,0.13,0,86,0.2,58,72,77.74,0.4,0.5,0.3,0.4,17.2028534275495,993
"ssp126--GFDL-ESM4--2075--2094","ssp126",0.28,0.48,0,87,0.1,63,76,88.6,0,0.1,0.4,0,19.5485352761988,994
"ssp126--GFDL-ESM4--2075--2095","ssp126",0.36,0.47,0,99,0.2,50,56,77.77,0.6,0.6,0.2,0.1,16.669620717152,995
"ssp126--GFDL-ESM4--2075--2096","ssp126",0.08,0,0,78,0.2,42,48,60.03,0,0.3,0.2,0,17.2610483646474,996
"ssp126--GFDL-ESM4--2075--2097","ssp126",0.05,0.13,0,88,0,62,75,80.5,0,0.1,0.3,0,18.4912236618995,997
"ssp126--GFDL-ESM4--2075--2098","ssp126",0.36,0.11,0,85,0.2,58,69,85.13,0.1,0.2,0.2,0.2,18.5752539271191,998
"ssp126--GFDL-ESM4--2075--2099","ssp126",0.41,0.21,0,84,0.45,74,80,98.87,0,0.7,0.2,0.2,19.0244090523762,999
"ssp126--GFDL-ESM4--2075--2100","ssp126",0.31,0.22,0,76,0.2,74,80,94.46,0,0.4,0.3,0.05,18.9875640865574,1000
"ssp126--INM-CM4-8--2075--2001","ssp126",0.41,0,0,77,0.2,43,49,72.31,0.3,0.3,0,0.3,17.6348638281967,1001
"ssp126--INM-CM4-8--2075--2002","ssp126",0.33,0.3,0,85,0,43,50,70.7,0.3,0.2,0,0.05,17.7130290267283,1002
"ssp126--INM-CM4-8--2075--2003","ssp126",0.12,0,0.2,84,0,77,88,101.58,0.1,0.3,0.3,0.2,18.2777885398504,1003
"ssp126--INM-CM4-8--2075--2004","ssp126",0.46,0.17,0,90,0.1,60,90,83.27,0,0.1,0,0,19.3839333819068,1004
"ssp126--INM-CM4-8--2075--2005","ssp126",0.12,0.2,0,85,0,52,60,78.41,0.2,0.5,0,0.2,17.6897025119742,1005
"ssp126--INM-CM4-8--2075--2006","ssp126",0.24,0.15,0,94,0.1,52,81,79.65,0,0.4,0.3,0.3,19.044313478402,1006
"ssp126--INM-CM4-8--2075--2007","ssp126",0.18,0,0,78,0.2,42,72,71.52,0.1,0.3,0.3,0,18.5086217302001,1007
"ssp126--INM-CM4-8--2075--2008","ssp126",0.42,0.27,0,80,0.5,46,52,73.68,0.2,0.4,0.3,0.65,17.9395025263396,1008
"ssp126--INM-CM4-8--2075--2009","ssp126",0.19,0.38,0,85,0.4,66,72,92.83,0,0.4,0,0.3,19.0980463302023,1009
"ssp126--INM-CM4-8--2075--2010","ssp126",0.52,0,0,84,0.2,98,104,114.45,0,0,0.1,0,19.4487873845521,1010
"ssp126--INM-CM4-8--2075--2011","ssp126",0.28,0.37,0,67,0,42,82,67,0,0.5,0,0.4,19.4751225225956,1011
"ssp126--INM-CM4-8--2075--2012","ssp126",0.21,0.14,0,94,0.1,61,67,87.23,0.2,0.3,0.2,0.15,17.3786681647332,1012
"ssp126--INM-CM4-8--2075--2013","ssp126",0.46,0.28,0,72,0.3,64,70,79.43,0,0.2,0.1,0,17.4903294825206,1013
"ssp126--INM-CM4-8--2075--2014","ssp126",0.31,0.1,0,78,0,42,84,73,0.1,0.3,0,0.4,18.365287431714,1014
"ssp126--INM-CM4-8--2075--2015","ssp126",0.46,0.13,0,82,0.8,62,82,82.65,0,0.3,0.2,0.1,18.5857870731977,1015
"ssp126--INM-CM4-8--2075--2016","ssp126",0.2,0.11,0,96,0.1,46,52,70.97,0.1,0.4,0.2,0.25,18.0022549789632,1016
"ssp126--INM-CM4-8--2075--2017","ssp126",0.19,0.31,0,82,0.1,70,76,87.48,0.2,0.3,0.1,0.05,18.2109620442813,1017
"ssp126--INM-CM4-8--2075--2018","ssp126",0.1,0.57,0,97,0,58,67,84.97,0,0.1,0.3,0.15,17.9198319285865,1018
"ssp126--INM-CM4-8--2075--2019","ssp126",0.17,0.33,0,85,0.2,59,86,85.35,0,0.1,0.1,0,19.5673703402051,1019
"ssp126--INM-CM4-8--2075--2020","ssp126",0.34,0.1,0,71,0.1,76,86,94.9,0,0.1,0.1,0.2,19.5664261121806,1020
"ssp126--INM-CM4-8--2075--2021","ssp126",0.21,0.1,0,85,0.2,63,71,80.95,0,0.1,0.2,0.4,18.7579706342312,1021
"ssp126--INM-CM4-8--2075--2022","ssp126",0.18,0.29,0,92,0.1,42,74,77.79,0,0.1,0.1,0.5,18.2524997115449,1022
"ssp126--INM-CM4-8--2075--2023","ssp126",0.42,0.21,0,82,0,43,49,76.67,0.4,0.6,0.2,0.1,17.3780363372815,1023
"ssp126--INM-CM4-8--2075--2024","ssp126",0.26,0.36,0,92,0,45,51,75.26,0,0.4,0.3,0,18.226300349134,1024
"ssp126--INM-CM4-8--2075--2025","ssp126",0.11,0.4,0,87,0,56,79,72.56,0,0.3,0.1,0.35,18.9242486571207,1025
"ssp126--INM-CM4-8--2075--2026","ssp126",0.37,0.11,0,97,0.3,56,62,85.61,0.1,0.2,0.1,0.15,19.1418340770715,1026
"ssp126--INM-CM4-8--2075--2027","ssp126",0.25,0.11,0,63,0,67,73,88.34,0,0.5,0.2,0.3,19.0276250391238,1027
"ssp126--INM-CM4-8--2075--2028","ssp126",0.51,0.23,0,88,0.1,69,75,91.33,0,0.3,0.2,0.2,18.7399198566048,1028
"ssp126--INM-CM4-8--2075--2029","ssp126",0.3,0.39,0.25,67,0.2,48,54,75.08,0.3,0.1,0.1,0.15,18.2902269031592,1029
"ssp126--INM-CM4-8--2075--2030","ssp126",0.15,0.21,0,89,0.2,45,51,73.25,0,0.5,0.3,0.7,17.8029045856641,1030
"ssp126--INM-CM4-8--2075--2031","ssp126",0.33,0.3,0,87,0,48,79,78.86,0,0.1,0.1,0,17.9502380030203,1031
"ssp126--INM-CM4-8--2075--2032","ssp126",0.49,0.12,0.2,82,0.1,59,65,81.23,0,0.1,0.1,0,18.7437079536638,1032
"ssp126--INM-CM4-8--2075--2033","ssp126",0.31,0.49,0,86,0.1,78,84,95.01,0,0.1,0,0,18.5013325019264,1033
"ssp126--INM-CM4-8--2075--2034","ssp126",0.29,0.24,0,79,0.1,53,63,75.61,0.1,0.7,0,0.55,18.5501108666915,1034
"ssp126--INM-CM4-8--2075--2035","ssp126",0.26,0.21,0,89,0.3,53,59,79.98,0.8,0.3,0,0.25,16.9005906127105,1035
"ssp126--INM-CM4-8--2075--2036","ssp126",0.11,0.23,0,79,0.5,64,73,85.8,0,0,0.1,0.05,18.1461694891758,1036
"ssp126--INM-CM4-8--2075--2037","ssp126",0.12,0,0,83,0.6,78,84,96.19,0,0.4,0.1,0.25,17.8398997574184,1037
"ssp126--INM-CM4-8--2075--2038","ssp126",0.49,0.27,0,94,0.3,42,48,74.63,0,0.2,0.2,0.1,17.6024043351475,1038
"ssp126--INM-CM4-8--2075--2039","ssp126",0.39,0.29,0,88,0,59,65,89.57,0.2,0.8,0.3,0.45,17.2612370785487,1039
"ssp126--INM-CM4-8--2075--2040","ssp126",0.18,0.4,0,77,0,48,54,80.14,0.8,0.4,0.1,0.15,17.192389075833,1040
"ssp126--INM-CM4-8--2075--2041","ssp126",0.29,0.45,0,104,0.1,73,79,96.02,0.1,0.3,0,0.15,18.5034474649065,1041
"ssp126--INM-CM4-8--2075--2042","ssp126",0.3,0,0,94,0,57,63,82.01,0,0.2,0.3,0.1,19.1182913131129,1042
"ssp126--INM-CM4-8--2075--2043","ssp126",0.29,0.38,0,85,0.2,90,96,109.08,0,0.2,0.1,0.2,18.9577282635789,1043
"ssp126--INM-CM4-8--2075--2044","ssp126",0.42,0.24,0,95,0.3,74,80,91.36,0.1,0.2,0,0.15,18.5540787902899,1044
"ssp126--INM-CM4-8--2075--2045","ssp126",0.21,0.31,0,105,0.3,76,82,95.09,0,0.1,0.2,0.05,18.3333811013242,1045
"ssp126--INM-CM4-8--2075--2046","ssp126",0.38,0.41,0,87,0.7,67,73,86.12,0,0.1,0,0.15,18.8718409621236,1046
"ssp126--INM-CM4-8--2075--2047","ssp126",0.35,0.48,0,78,0.4,102,108,116.02,0,0.1,0.2,0.15,20.3428853208823,1047
"ssp126--INM-CM4-8--2075--2048","ssp126",0.38,0.46,0,79,0,60,68,86.25,0,0,0.2,0.3,18.1714390274777,1048
"ssp126--INM-CM4-8--2075--2049","ssp126",0.06,0.25,0,75,0,64,70,87.02,0,0.2,0,0.1,18.8704871889428,1049
"ssp126--INM-CM4-8--2075--2050","ssp126",0.34,0,0,65,0.4,50,94,74.85,0.1,0.1,0.1,0.05,18.5380541681205,1050
"ssp126--INM-CM4-8--2075--2051","ssp126",0.31,0.22,0,85,0.1,42,71,71.91,0.1,0.4,0.1,0.3,18.6972363186586,1051
"ssp126--INM-CM4-8--2075--2052","ssp126",0,0.13,0,78,0,48,54,78.94,0,0.1,0,0,18.0930175560498,1052
"ssp126--INM-CM4-8--2075--2053","ssp126",0.2,0,0.25,103,0.1,58,68,85.47,0,0.2,0.2,0.1,18.0780341841227,1053
"ssp126--INM-CM4-8--2075--2054","ssp126",0.16,0.28,0,69,0.3,67,74,93.53,0,0,0.1,0.4,18.7681483802272,1054
"ssp126--INM-CM4-8--2075--2055","ssp126",0.38,0.11,0,70,0.2,62,68,83.03,0,0.2,0,0.2,18.1734008293615,1055
"ssp126--INM-CM4-8--2075--2056","ssp126",0.28,0.13,0,97,0,42,83,71.54,0,0.3,0,0,18.9168204504001,1056
"ssp126--INM-CM4-8--2075--2057","ssp126",0.36,0.12,0,92,0.1,65,81,90.11,0,0.5,0.1,0.1,18.8090845461473,1057
"ssp126--INM-CM4-8--2075--2058","ssp126",0.2,0.11,0,83,0.3,79,85,97.78,0,0.3,0.1,0.1,19.2019095027343,1058
"ssp126--INM-CM4-8--2075--2059","ssp126",0.22,0.31,0,82,0.1,66,72,88.75,0,0.1,0.2,0,18.5077493308002,1059
"ssp126--INM-CM4-8--2075--2060","ssp126",0.39,0.18,0,87,0.1,79,85,94.24,0,0.3,0,0.15,18.726098777572,1060
"ssp126--INM-CM4-8--2075--2061","ssp126",0.37,0.27,0,80,0.1,88,94,100.27,0.1,0,0.2,0.15,18.6946711825525,1061
"ssp126--INM-CM4-8--2075--2062","ssp126",0.31,0.27,0,66,0.4,42,48,70.54,0.3,0.2,0.1,0.05,16.8603470586341,1062
"ssp126--INM-CM4-8--2075--2063","ssp126",0.24,0.22,0,79,0.1,60,66,79.97,0,0.7,0.4,0.45,18.8365977686673,1063
"ssp126--INM-CM4-8--2075--2064","ssp126",0.3,0.57,0,87,0.1,43,55,73.89,0.4,0.2,0.2,0,17.7347511742931,1064
"ssp126--INM-CM4-8--2075--2065","ssp126",0.26,0.22,0,67,0,51,70,84.8,0,0.2,0.2,0.05,18.7734381007521,1065
"ssp126--INM-CM4-8--2075--2066","ssp126",0.21,0.51,0,88,0.2,75,81,94.1,0,0.6,0.1,0.2,19.3212621904393,1066
"ssp126--INM-CM4-8--2075--2067","ssp126",0.3,0.23,0,76,0,66,72,87.57,0.1,0.1,0.3,0.05,18.4809651428311,1067
"ssp126--INM-CM4-8--2075--2068","ssp126",0.39,0.31,0,86,0.1,75,81,97.27,0.4,0.5,0.3,0.05,18.8876903130256,1068
"ssp126--INM-CM4-8--2075--2069","ssp126",0.28,0.37,0,88,0.1,69,75,90.33,0,0.2,0.2,0.45,18.6506757508091,1069
"ssp126--INM-CM4-8--2075--2070","ssp126",0.23,0.2,0,94,0.1,42,54,73.75,0.2,0.2,0.2,0.15,17.3775589802942,1070
"ssp126--INM-CM4-8--2075--2071","ssp126",0.17,0.21,0,85,0.2,51,57,76.72,0,0,0.1,0.05,17.5498101656642,1071
"ssp126--INM-CM4-8--2075--2072","ssp126",0.06,0.22,0,88,0.2,59,65,83.51,0.1,0,0.1,0,18.0093734770681,1072
"ssp126--INM-CM4-8--2075--2073","ssp126",0.44,0.24,0,78,0.2,76,82,88.38,0,0.4,0.3,0.25,19.4203351649934,1073
"ssp126--INM-CM4-8--2075--2074","ssp126",0.38,0,0,93,0,42,49,69.62,0.8,0.3,0,0,16.2170678003101,1074
"ssp126--INM-CM4-8--2075--2075","ssp126",0.26,0,0,66,0.5,54,69,82.72,0,0.2,0.2,0.1,18.6294145056521,1075
"ssp126--INM-CM4-8--2075--2076","ssp126",0.26,0.23,0,76,0.1,54,60,78.07,0.3,0.4,0.1,0.2,17.3638074738445,1076
"ssp126--INM-CM4-8--2075--2077","ssp126",0.21,0.12,0,81,0.2,62,68,87.44,0,0.1,0.2,0.5,18.5418045154806,1077
"ssp126--INM-CM4-8--2075--2078","ssp126",0.17,0.2,0,83,0.2,69,75,91.59,0,0.1,0.4,0,18.6541606406368,1078
"ssp126--INM-CM4-8--2075--2079","ssp126",0.19,0,0,87,0.4,49,55,75.66,0,0.4,0,0.4,18.7304042048176,1079
"ssp126--INM-CM4-8--2075--2080","ssp126",0.42,0.26,0,82,0.1,84,90,100.88,0,0.5,0,0.25,19.3564085521911,1080
"ssp126--INM-CM4-8--2075--2081","ssp126",0.23,0,0,79,0.1,72,78,95.09,0.2,0.3,0.2,0,17.6580419494012,1081
"ssp126--INM-CM4-8--2075--2082","ssp126",0.25,0,0,81,0.5,42,74,76.03,0,0.3,0,0,19.319982529008,1082
"ssp126--INM-CM4-8--2075--2083","ssp126",0.38,0.22,0,85,0,45,75,74.16,0.1,0.3,0,0,17.5731415781799,1083
"ssp126--INM-CM4-8--2075--2084","ssp126",0.37,0.37,0,80,0,90,96,104.22,0,0.1,0.1,0.1,19.4442988514777,1084
"ssp126--INM-CM4-8--2075--2085","ssp126",0.51,0.24,0,88,0,87,94,105.13,0,0.3,0.1,0.25,19.5910023475402,1085
"ssp126--INM-CM4-8--2075--2086","ssp126",0.31,0.31,0,78,0.4,81,87,100.25,0,0.2,0.1,0.15,19.626314148137,1086
"ssp126--INM-CM4-8--2075--2087","ssp126",0.23,0.61,0,79,0.4,71,77,91.44,0,0.3,0,0,18.3571768048852,1087
"ssp126--INM-CM4-8--2075--2088","ssp126",0.17,0.1,0,74,0.1,83,89,102.98,0,0.3,0.1,0.2,19.3813871122493,1088
"ssp126--INM-CM4-8--2075--2089","ssp126",0.32,0.11,0,70,0,86,96,104.15,0,0,0.1,0,18.560340278362,1089
"ssp126--INM-CM4-8--2075--2090","ssp126",0.19,0.55,0,97,0.1,82,88,98.81,0,0.1,0,0,19.3260486887696,1090
"ssp126--INM-CM4-8--2075--2091","ssp126",0.25,0.1,0,77,0.1,73,79,96.25,0,0.3,0.1,0,18.3321583947866,1091
"ssp126--INM-CM4-8--2075--2092","ssp126",0.23,0.25,0,93,0.2,70,78,93.97,0.1,0.2,0.2,0.05,19.1936642286153,1092
"ssp126--INM-CM4-8--2075--2093","ssp126",0.33,0.27,0,83,0.2,59,106,79.29,0,0.2,0.2,0.35,19.6587163724843,1093
"ssp126--INM-CM4-8--2075--2094","ssp126",0.28,0.48,0,84,0.1,74,80,96.9,0,0,0.2,0,19.4156381864341,1094
"ssp126--INM-CM4-8--2075--2095","ssp126",0.36,0.46,0,96,0.1,50,57,78.94,0.8,0.5,0.1,0.1,16.3688616201902,1095
"ssp126--INM-CM4-8--2075--2096","ssp126",0.13,0.11,0,78,0.2,42,48,63.63,0,0.2,0.2,0,16.9881785244122,1096
"ssp126--INM-CM4-8--2075--2097","ssp126",0.12,0.28,0,86,0,62,76,82.8,0,0.1,0.1,0,18.3114004479928,1097
"ssp126--INM-CM4-8--2075--2098","ssp126",0.36,0.21,0,85,0.1,58,71,85.76,0.1,0.1,0.2,0.2,18.4040365710731,1098
"ssp126--INM-CM4-8--2075--2099","ssp126",0.43,0.42,0,84,0.45,75,81,99.26,0,0.1,0.1,0.15,18.7724558673711,1099
